placeId;name;rating;review;category;description;city;address;postalCode;imageUrl;url;latitude;longitude;phone;openingHours/0/day;openingHours/0/hours;openingHours/1/day;openingHours/1/hours;openingHours/2/day;openingHours/2/hours;openingHours/3/day;openingHours/3/hours;openingHours/4/day;openingHours/4/hours;openingHours/5/day;openingHours/5/hours;openingHours/6/day;openingHours/6/hours
11;Taman Kunang Kunang;4,3;2356;Wisata Rekreasi;Taman ini dikenal dengan suasana yang sejuk dan rindang karena ditumbuhi banyak pepohonan. Di malam hari, lampu-lampu berbentuk kunang-kunang menyala, memberikan kesan magis dan menarik. Taman ini juga menyediakan berbagai fasilitas seperti jalur jogging, area bermain untuk anak-anak, dan tempat duduk yang nyaman;Kota Malang;2JPF+PFJ, Jalan Jakarta Oro-oro Dowo, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65113, Indonesia;65113;https://lh5.googleusercontent.com/p/AF1QipOyMm0BRYR7C0zToRUVKOBMDHNVCftf8UBy86NR=w408-h272-k-no;https://www.google.com/maps/search/?api=1&query=Taman%20Kunang%20Kunang&query_place_id=ChIJG5Ig5ioo1i0R-QoNW6XhL4g;-7,9631613;112,6236354;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
12;Taman Rekreasi Sengkaling;4,3;9231;Wisata Rekreasi;Sengkaling adalah salah satu taman rekreasi tertua dan paling populer di Malang. Taman ini menawarkan berbagai wahana air, taman bermain, dan kebun binatang mini. Sengkaling juga sering menjadi tujuan wisata keluarga karena suasananya yang nyaman dan fasilitasnya yang lengkap.;Kabupaten Malang;Jl. Raya Sengkaling No.188, Jetis, Mulyoagung, Kec. Dau, Kabupaten Malang, Jawa Timur 65153, Indonesia;65153;https://lh5.googleusercontent.com/p/AF1QipOHg3snhEHsRxjBzYI4T_mFBXJXRprV_lVdbjdr=w410-h240-k-no;https://www.google.com/maps/search/?api=1&query=Taman%20Rekreasi%20Sengkaling&query_place_id=ChIJVxN4YY6BeC4R1d1EueGiN7o;-7,9153841;112,5889089;+62 341 462260;Monday;6 AM to 5 PM;Tuesday;6 AM to 5 PM;Wednesday;6 AM to 5 PM;Thursday;6 AM to 5 PM;Friday;6 AM to 5 PM;Saturday;6 AM to 5 PM;Sunday;6 AM to 5 PM
13;Tarekot Kota Malang Park;4,0;1323;Wisata Rekreasi;Taman rekreasi yang terletak di belakang Balai Kota Malang. Taman ini dikenal sebagai tempat yang ramah keluarga dan menyediakan berbagai fasilitas seperti area bermain untuk anak-anak, toilet, warung makan, dan wahana permainan. Di dalam taman ini juga terdapat halte bus Macito (Malang City Tour), yang menawarkan perjalanan gratis berkeliling kota Malang dengan guide tour;Kota Malang;2JCM+C2X, Jl. Mojopahit, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia;65119;https://lh5.googleusercontent.com/p/AF1QipNSnRjAlXzh_7x7Cf99U3PneJE5HHkFNU3QKG9H=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Tarekot%20Malang%20City%20Park&query_place_id=ChIJl1cP9SEo1i0RXJ2TcxOAVQg;-7,9788915;112,6326248;;;;;;;;;;;;;;;
14;Mata Air Wendit Lanang;4,3;948;Wisata Alam;Mata air ini merupakan sumber air alami yang sering dikunjungi oleh masyarakat sekitar. Biasanya, tempat seperti ini memiliki suasana yang tenang dan asri, cocok untuk kamu yang ingin melepas penat.;Kabupaten Malang;wendit utara Rt 4 Rw 8 Desa Mangliawan. kec. Pakis Kab Malang. Kp, Krajan, Mangliawan, Kec. Pakis, Kabupaten Malang, Jawa Timur 65154, Indonesia;65154;https://lh5.googleusercontent.com/p/AF1QipOi8m0ueVsVhSbyCjLqz3x1GTKxpV3UjvbgVtJM=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Mata%20Air%20Wendit%20Lanang&query_place_id=ChIJW7-YBg8p1i0RI2QXDHNeDqA;-7,9476788;112,678187;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
15;Brawijaya Edupark;4,2;2874;Wisata Edukasi;Taman ini menawarkan berbagai aktivitas menarik seperti kolam renang, wahana permainan, dan spot foto yang indah. Kolam renang di sini cukup ramah untuk anak-anak karena kedalaman kolam yang tidak begitu dalam;Kota Malang;Jl. Kahuripan No.1, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia;65119;https://lh5.googleusercontent.com/p/AF1QipPh0_H1iyKA_92blEITuKKNdug8NHsfIZuVBATK=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Brawijaya%20Edupark&query_place_id=ChIJCYcNrCQo1i0RLhAdinknz68;-7,975767;112,631746;;Monday;8 AM to 4 PM;Tuesday;8 AM to 4 PM;Wednesday;8 AM to 4 PM;Thursday;8 AM to 4 PM;Friday;8 AM to 4 PM;Saturday;8 AM to 4 PM;Sunday;8 AM to 4 PM
16;White Kampung Malang Travel;4,3;226;Wisata Rekreasi;Kampung tematik yang terletak di Jalan Jaksa Agung Suprapto, Klojen, Kota Malang. Kampung ini dikenal dengan rumah-rumah dan area yang dicat dengan warna putih, sehingga terlihat anggun dan bersih;Kota Malang;2JGJ+V9V, Jl. Jaksa Agung Suprapto, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65112, Indonesia;65112;https://lh5.googleusercontent.com/p/AF1QipN441d6SVWlnAoPqR-uCnzBt55-tTwDtdxZKZrb=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=White%20Kampung%20Malang%20Travel&query_place_id=ChIJXwlGRiUo1i0R64MWy9n-NkQ;-7,9727599;112,6309237;+62 813-3675-5757;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
17;Wisata Petik Jeruk;4,4;1130;Wisata Edukasi;Sesuai namanya, wisata ini memungkinkan pengunjung untuk memetik jeruk langsung dari pohonnya. Biasanya, wisata petik jeruk ini diadakan di perkebunan jeruk yang terletak di sekitar Malang.;Kabupaten Malang;Jl. Watu Gede, RT.01/RW.01, Selorejo, Kec. Dau, Kabupaten Malang, Jawa Timur 65151, Indonesia;65151;https://lh5.googleusercontent.com/p/AF1QipNV_HEu3dUQoQCmA5PqaOQn3DALA_266HH7odNi=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Wisata%20Petik%20Jeruk&query_place_id=ChIJz3VRJO-DeC4RCC1pBtCqWTk;-7,9390977;112,5538888;+62 823-3802-7000;Monday;8 AM to 3 PM;Tuesday;8 AM to 3 PM;Wednesday;8 AM to 3 PM;Thursday;8 AM to 3 PM;Friday;8 AM to 3 PM;Saturday;8 AM to 5 PM;Sunday;8 AM to 5 PM
18;Alun-Alun Tugu Malang;4,6;13371;Taman Kota;Alun-alun ini merupakan pusat kota Malang yang sering digunakan untuk berbagai kegiatan, seperti acara budaya, pameran, atau sekadar bersantai. Tugu di tengah alun-alun menjadi ikon yang khas.;Kota Malang;2JFM+4JW, Jl. Tugu, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia;65111;https://lh5.googleusercontent.com/p/AF1QipPXAmxP1b-8Lr_8Yu4aSbAAvLu-Lt4gvBb7ca7i=w451-h240-k-no;https://www.google.com/maps/search/?api=1&query=Alun-Alun%20Tugu%20Malang&query_place_id=ChIJ-83vmjwo1i0RkV1oV4hiiOI;-7,9771351;112,6340638;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
19;Malabar City Forest;4,3;1478;Wisata Alam;Ini adalah kawasan hutan di tengah kota yang bisa menjadi tempat yang menyegarkan untuk bersantai atau berolahraga. Biasanya, hutan kota seperti ini memiliki jalur setapak untuk berjalan kaki atau bersepeda.;Kota Malang;2JJG+HJR, Jl. Malabar, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia;65119;https://lh5.googleusercontent.com/p/AF1QipMdgOU0ns6jlqdWCMoyzaIO0w2MoA7pSdtbbEq7=w426-h240-k-no;https://www.google.com/maps/search/?api=1&query=Malabar%20City%20Forest&query_place_id=ChIJU4NEzy4o1i0RNsDDx2Zanew;-7,9685;112,626514;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
20;Taman Krida Budaya Jawa Timur;4,5;7134;Wisata Budaya;Taman ini dikenal sebagai tempat yang ideal untuk menikmati berbagai seni budaya Jawa Timur seperti ketoprak, wayang kulit, wayang orang, sendra tari, kuda lumping, dan reog. Selain itu, wisatawan juga bisa menyaksikan kesenian baru yang disebut Bantengan, hasil kreativitas masyarakat Malang;Kota Malang;Jl. Soekarno Hatta No.7, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142, Indonesia;65142;https://lh5.googleusercontent.com/p/AF1QipM9X6Z-9YCutGu_nUIsZtglymlVaLc7sDRo37k=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Taman%20Krida%20Budaya%20Jawa%20Timur&query_place_id=ChIJx6Buzt8p1i0RR5V5o4crP1s;-7,9426232;112,6225314;+62 341 471509;Monday;8 AM to 4 PM;Tuesday;8 AM to 4 PM;Wednesday;8 AM to 4 PM;Thursday;8 AM to 4 PM;Friday;8 AM to 4 PM;Saturday;Closed;Sunday;Closed
21;Merbabu Family Park;4,4;1161;Wisata Rekreasi;Memiliki banyak pohon dan area hijau yang berfungsi sebagai paru-paru kota, membantu menyerap polutan dan memproduksi oksigen. Merbabu Family Park adalah tempat yang ideal untuk keluarga untuk bersantai, bermain, dan menikmati alam.;Kota Malang;2JJG+R88, Jl. Merbabu, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia;65119;https://lh5.googleusercontent.com/p/AF1QipPOj15vsKSqWMHAmMhONxMOKlpRThTZ_H1kxwxY=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Merbabu%20Family%20Park&query_place_id=ChIJGZkISyko1i0Rp52mUl5OyMg;-7,967958;112,6258225;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
22;Wisata Kali Cemplong;4,3;424;Wisata Alam;Destinasi wisata yang terletak di perbatasan Kota Malang dan Kabupaten Malang, tepatnya di Jalan Kapiworo 2, Keduyo, Mangliawan, Kecamatan Pakis. Tempat ini dikenal sebagai tempat yang ideal untuk bersantai, bersepeda, dan menyusuri sungai;Kabupaten Malang;Jl. Kapiworo II, Keduyo, Mangliawan, Kec. Pakis, Kabupaten Malang, Jawa Timur 65154, Indonesia;65154;https://lh5.googleusercontent.com/p/AF1QipNvlYEviqIY5KMxM89owDrKqCBm1FclMnhfiaO0=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Wisata%20Kali%20Cemplong&query_place_id=ChIJZwaMrlMp1i0R4G57o6sEZiE;-7,9608731;112,6612112;;Monday;6:45 AM to 11 PM;Tuesday;6:45 AM to 11 PM;Wednesday;6:45 AM to 11 PM;Thursday;6:45 AM to 11 PM;Friday;6:45 AM to 11:30 PM;Saturday;6 AM to 11:30 PM;Sunday;6 AM to 11:30 PM
23;"Wisata Alam ""SUMBER GENTONG""";4,3;295;Wisata Alam;Tempat ini dikenal dengan sumber mata air alami yang mengalir di setiap sudutnya, memberikan kesegaran dan suasana yang tenang;Kabupaten Malang;Jl. H. Nur Rois, dusun Gentong, Tirtomoyo, Kec. Pakis, Kabupaten Malang, Jawa Timur 65154, Indonesia;65154;https://lh5.googleusercontent.com/p/AF1QipNbrAwTb9Ax02Zr6L3Gb3DI3K-cDcBwu_JuGenx=w426-h240-k-no;https://www.google.com/maps/search/?api=1&query=Wisata%20Alam%20%22SUMBER%20GENTONG%22&query_place_id=ChIJsbkAvokp1i0Rm_AcQocycRI;-7,9442783;112,6734667;+62 813-5933-3401;Monday;7 AM to 4:30 PM;Tuesday;7 AM to 4:30 PM;Wednesday;7:30 AM to 4:30 PM;Thursday;7:30 AM to 4:30 PM;Friday;7 AM to 4:30 PM;Saturday;7 AM to 4:30 PM;Sunday;7 AM to 4:30 PM
24;Kasembon Rafting - Marketing Office;4,4;391;Wisata Budaya;Tujuan dari wisata ini adalah pelestarian alam, pengalaman wisata interaktif, pemberdayaan komunitas lokal, dan pendidikan. Rafting di Kasembon dilakukan dengan aman dengan perlengkapan pelindung seperti pelampung, helm, dan pelindung tubuh;Kota Malang;Jl. Bunga Kumis Kucing No.46, Jatimulyo, malang, Kota Malang, Jawa Timur 65141, Indonesia;65141;https://lh5.googleusercontent.com/p/AF1QipOeI83P1odPZCq_Up0asoeXwse2S_o9wNHPSHoN=w408-h270-k-no;https://www.google.com/maps/search/?api=1&query=Kasembon%20Rafting%20-%20Marketing%20Office&query_place_id=ChIJTymvf-Ap1i0R39iVHZGpYEc;-7,950725;112,619282;;Monday;8 AM to 4 PM;Tuesday;8 AM to 4 PM;Wednesday;8 AM to 4 PM;Thursday;8 AM to 4 PM;Friday;8 AM to 4 PM;Saturday;8 AM to 1 PM;Sunday;Closed
25;Monumen Juang 45;4,3;79;Wisata Budaya;Sebuah monumen bersejarah yang terletak di Jalan Kertanegara, tepat berada di depan Stasiun Kota Baru Malang. Monumen ini dibangun pada tanggal 20 Mei 1975 untuk mengenang perjuangan rakyat Malang dalam mempertahankan kemerdekaan Indonesia dari tahun 1945 hingga 1949;Kota Malang;2JCP+XGG, Jl. Kertanegara, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia;65111;https://lh5.googleusercontent.com/p/AF1QipN1f7yN4lJdNKaJNTw9RgcM1YYuM9wU9KaVQv58=w408-h544-k-no;https://www.google.com/maps/search/?api=1&query=Monumen%20Juang%2045&query_place_id=ChIJX0D9ZTwo1i0REX0uGVxtYKM;-7,9775531;112,636329;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
26;Bis Wisata Malang (Macito);3,7;114;Wisata Rekreasi;Layanan bus wisata yang disediakan oleh Pemerintah Kota Malang untuk memudahkan wisatawan dan warga lokal dalam berkeliling kota Malang. Bus ini beroperasi setiap hari dengan beberapa rute yang menampilkan berbagai landmark dan tempat menarik di Malang;Kota Malang;Jl. Gajahmada No.2, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia;65119;https://lh5.googleusercontent.com/p/AF1QipM-0l5v6K-Q2wcvp2XO7qCWNbGBe8kJ7W2hxLpH=w426-h240-k-no;https://www.google.com/maps/search/?api=1&query=Bis%20Wisata%20Malang%20(Macito)&query_place_id=ChIJ-zKgjDwo1i0ROsCws1HNSAY;-7,9793836;112,6311007;;Monday;8 AM to 1 PM;Tuesday;8 AM to 1 PM;Wednesday;8 AM to 1 PM;Thursday;8 AM to 1 PM;Friday;8 AM to 1 PM;Saturday;8 AM to 1 PM;Sunday;8 AM to 1 PM
27;Water Park Tirtasani;4,2;1540;Wisata Rekreasi;Taman ini menawarkan berbagai wahana permainan air yang menarik dan cocok untuk semua usia, mulai dari anak-anak hingga orang dewasa;Kabupaten Malang;Perum Tirtasani Royal Resort, Jl. Perusahaan Raya No.1, Karangploso Wetan, Kepuharjo, Kec. Karang Ploso, Kabupaten Malang, Jawa Timur 65152, Indonesia;65152;https://lh5.googleusercontent.com/p/AF1QipNR7ee5q4bpGOfvsVs6i9DRkJxUaybAGUoN5pjR=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Water%20Park%20Tirtasani&query_place_id=ChIJBRu9Bw8q1i0RQlfr9jMy5Eg;-7,909525;112,627203;+62 857-0695-1955;Monday;8:30 AM to 3:30 PM;Tuesday;8:30 AM to 3:30 PM;Wednesday;8:30 AM to 3:30 PM;Thursday;8:30 AM to 3:30 PM;Friday;8:30 AM to 3:30 PM;Saturday;8:30 AM to 3:30 PM;Sunday;8:30 AM to 3:30 PM
28;Kajoetangan Heritage Village;4,6;3678;Wisata Sejarah;Sebuah desa wisata yang terletak di Jalan Jenderal Basuki Rahmat Gg. 4, Kauman, Klojen, Kota Malang. Desa ini dikenal dengan rumah-rumah era kolonial Belanda yang berjajar di gang sempit, serta mural dinding cerah dan spot foto ala retro;Kota Malang;Jl. Jenderal Bauki Rahmat Gg. 4, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia;65119;https://lh5.googleusercontent.com/p/AF1QipO7KF1J7ZkoZmLus3a9U4SxnvNfSoR-4HVg9qkU=w408-h543-k-no;https://www.google.com/maps/search/?api=1&query=Kajoetangan%20Heritage%20Village&query_place_id=ChIJvWqpXyop1i0RECn5leQUQUw;-7,9789771;112,6293516;;Monday;7 AM to 6:30 PM;Tuesday;7 AM to 6:30 PM;Wednesday;7 AM to 6:30 PM;Thursday;7 AM to 6:30 PM;Friday;7 AM to 6:30 PM;Saturday;7 AM to 6:30 PM;Sunday;7 AM to 6:30 PM
29;Kendedes Park;4,5;2968;Wisata Rekreasi;Taman ini memiliki luas area yang cukup besar dan dikelilingi oleh pepohonan yang rindang, memiliki patung besar Ken Dedes, simbol kecantikan wanita Jawa, yang menjadi pusat daya tariknya;Kota Malang;Jl. Jend. Ahmad Yani Utara No.4, Balearjosari, Kec. Blimbing, Kota Malang, Jawa Timur 65126, Indonesia;65126;https://lh5.googleusercontent.com/p/AF1QipPiJCsWtvormVtv89SL3cnfAxngQDNfFuiZ0Ma0=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Kendedes%20Park&query_place_id=ChIJ82XBv44p1i0RoqC1F8ccKvw;-7,9261358;112,6508536;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
30;Wisma Tumapel;4,3;350;Wisata Sejarah;Bangunan bersejarah di Kota Malang yang dibangun pada tahun 1928 selama masa kolonial Belanda. Pada masa kolonial, wisma ini menjadi penginapan favorit bangsawan Belanda karena pemandangan alamnya yang indah dan suasana yang tenang;Kota Malang;Jalan Tumapel No.1, Kiduldalem, Klojen, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia;65119;https://lh5.googleusercontent.com/p/AF1QipMQ1toIJjpZy9exORrFdrt0DswCSu4TQemnYgas=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Wisma%20Tumapel&query_place_id=ChIJaV23xjwo1i0RrcWd9L1FjOQ;-7,9782186;112,6327729;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
